PIN,XC3SD1800AFG676_PIN,XC3SD1800AFG676_BANK,TYPE,DIFF_PAIR,ROW,ROW_#,COLUMN
A1,GND,GND,GND,,A,1,1
A2,PROG_B,VCCAUX,CONFIG,,A,1,2
A3,IO_L51P_0,0,I/O,TRUE,A,1,3
A4,IO_L45P_0,0,I/O,TRUE,A,1,4
A5,IP_0,0,INPUT,,A,1,5
A6,GND,GND,GND,,A,1,6
A7,IP_0,0,INPUT,,A,1,7
A8,IO_L38P_0,0,I/O,TRUE,A,1,8
A9,IO_L36P_0,0,I/O,TRUE,A,1,9
A10,IO_L33P_0,0,I/O,TRUE,A,1,10
A11,GND,GND,GND,,A,1,11
A12,IO_L29P_0,0,I/O,TRUE,A,1,12
A13,IP_0,0,INPUT,,A,1,13
A14,IO_L26N_0/GCLK7,0,GCLK,TRUE,A,1,14
A15,IO_L23N_0,0,I/O,TRUE,A,1,15
A16,GND,GND,GND,,A,1,16
A17,IP_0,0,INPUT,,A,1,17
A18,IO_L18N_0,0,I/O,TRUE,A,1,18
A19,IO_L15N_0,0,I/O,TRUE,A,1,19
A20,IO_L14N_0,0,I/O,TRUE,A,1,20
A21,GND,GND,GND,,A,1,21
A22,IO_L07N_0,0,I/O,TRUE,A,1,22
A23,IP_0,0,INPUT,,A,1,23
A24,IP_0,0,INPUT,,A,1,24
A25,TCK,VCCAUX,JTAG,,A,1,25
A26,GND,GND,GND,,A,1,26
AA1,GND,GND,GND,,AA,21,1
AA2,IO_L55P_3,3,I/O,TRUE,AA,21,2
AA3,IO_L55N_3,3,I/O,TRUE,AA,21,3
AA4,IP_L58P_3,3,INPUT,TRUE,AA,21,4
AA5,IP_L58N_3/VREF_3,3,VREF,TRUE,AA,21,5
AA6,GND,GND,GND,,AA,21,6
AA7,IO_L02N_2/CSO_B,2,DUAL,TRUE,AA,21,7
AA8,IP_2,2,INPUT,,AA,21,8
AA9,IP_2/VREF_2,2,VREF,,AA,21,9
AA10,IO_L12N_2,2,I/O,TRUE,AA,21,10
AA11,GND,GND,GND,,AA,21,11
AA12,IO_L17N_2/VS2,2,DUAL,TRUE,AA,21,12
AA13,IO_L25P_2/GCLK12,2,GCLK,TRUE,AA,21,13
AA14,IO_L27N_2/GCLK1,2,GCLK,TRUE,AA,21,14
AA15,IO_L34P_2/INIT_B,2,DUAL,TRUE,AA,21,15
AA16,GND,GND,GND,,AA,21,16
AA17,IO_L43P_2,2,I/O,TRUE,AA,21,17
AA18,IO_L47N_2,2,I/O,TRUE,AA,21,18
AA19,IP_2,2,INPUT,,AA,21,19
AA20,IP_2/VREF_2,2,VREF,,AA,21,20
AA21,GND,GND,GND,,AA,21,21
AA22,IO_L09P_1,1,I/O,TRUE,AA,21,22
AA23,IO_L09N_1,1,I/O,TRUE,AA,21,23
AA24,IO_L11P_1,1,I/O,TRUE,AA,21,24
AA25,IO_L11N_1,1,I/O,TRUE,AA,21,25
AA26,GND,GND,GND,,AA,21,26
AB1,IO_L60P_3,3,I/O,TRUE,AB,22,1
AB2,VCCO_3,3,VCCO,,AB,22,2
AB3,IP_L62P_3,3,INPUT,TRUE,AB,22,3
AB4,IP_L62N_3,3,INPUT,TRUE,AB,22,4
AB5,VCCAUX,VCCAUX,VCCAUX,,AB,22,5
AB6,IP_2/VREF_2,2,VREF,,AB,22,6
AB7,IO_L14N_2,2,I/O,TRUE,AB,22,7
AB8,VCCO_2,2,VCCO,,AB,22,8
AB9,IO_L15P_2,2,I/O,TRUE,AB,22,9
AB10,IP_2/VREF_2,2,VREF,,AB,22,10
AB11,VCCAUX,VCCAUX,VCCAUX,,AB,22,11
AB12,IO_L21P_2,2,I/O,TRUE,AB,22,12
AB13,IP_2,2,INPUT,,AB,22,13
AB14,VCCO_2,2,VCCO,,AB,22,14
AB15,IO_L30N_2/MOSI/CSI_B,2,DUAL,TRUE,AB,22,15
AB16,IO_L38N_2,2,I/O,TRUE,AB,22,16
AB17,IP_2,2,INPUT,,AB,22,17
AB18,IO_L47P_2,2,I/O,TRUE,AB,22,18
AB19,VCCO_2,2,VCCO,,AB,22,19
AB20,IP_2,2,INPUT,,AB,22,20
AB21,DONE,VCCAUX,CONFIG,,AB,22,21
AB22,VCCAUX,VCCAUX,VCCAUX,,AB,22,22
AB23,IO_L07P_1,1,I/O,TRUE,AB,22,23
AB24,IO_L07N_1/VREF_1,1,VREF,TRUE,AB,22,24
AB25,VCCO_1,1,VCCO,,AB,22,25
AB26,IO_L06N_1,1,I/O,TRUE,AB,22,26
AC1,IO_L60N_3,3,I/O,TRUE,AC,23,1
AC2,IO_L64P_3,3,I/O,TRUE,AC,23,2
AC3,IO_L64N_3,3,I/O,TRUE,AC,23,3
AC4,IO_L01P_2/M1,2,DUAL,TRUE,AC,23,4
AC5,IP_2,2,INPUT,,AC,23,5
AC6,IO_L08P_2,2,I/O,TRUE,AC,23,6
AC7,IP_2,2,INPUT,,AC,23,7
AC8,IO_L14P_2,2,I/O,TRUE,AC,23,8
AC9,IO_L15N_2,2,I/O,TRUE,AC,23,9
AC10,IP_2/VREF_2,2,VREF,,AC,23,10
AC11,IO_L23N_2,2,I/O,TRUE,AC,23,11
AC12,IO_L21N_2,2,I/O,TRUE,AC,23,12
AC13,IP_2,2,INPUT,,AC,23,13
AC14,IO_L29N_2,2,I/O,TRUE,AC,23,14
AC15,IO_L30P_2,2,I/O,TRUE,AC,23,15
AC16,IO_L38P_2,2,I/O,TRUE,AC,23,16
AC17,IP_2,2,INPUT,,AC,23,17
AC18,IP_2,2,INPUT,,AC,23,18
AC19,IO_L40N_2,2,I/O,TRUE,AC,23,19
AC20,IO_L41N_2,2,I/O,TRUE,AC,23,20
AC21,IO_L45N_2,2,I/O,TRUE,AC,23,21
AC22,IO_2,2,I/O,,AC,23,22
AC23,IO_L03P_1/A0,1,DUAL,TRUE,AC,23,23
AC24,IO_L03N_1/A1,1,DUAL,TRUE,AC,23,24
AC25,IO_L05N_1,1,I/O,TRUE,AC,23,25
AC26,IO_L06P_1,1,I/O,TRUE,AC,23,26
AD1,IO_L65P_3,3,I/O,TRUE,AD,24,1
AD2,IO_L65N_3,3,I/O,TRUE,AD,24,2
AD3,GND,GND,GND,,AD,24,3
AD4,IO_L01N_2/M0,2,DUAL,TRUE,AD,24,4
AD5,IP_2,2,INPUT,,AD,24,5
AD6,IO_L08N_2,2,I/O,TRUE,AD,24,6
AD7,IO_L11P_2,2,I/O,TRUE,AD,24,7
AD8,GND,GND,GND,,AD,24,8
AD9,IP_2,2,INPUT,,AD,24,9
AD10,IP_2,2,INPUT,,AD,24,10
AD11,IO_L23P_2,2,I/O,TRUE,AD,24,11
AD12,IP_2/VREF_2,2,VREF,,AD,24,12
AD13,GND,GND,GND,,AD,24,13
AD14,IO_L29P_2,2,I/O,TRUE,AD,24,14
AD15,IO_L32P_2/AWAKE,2,PWRMGMT,TRUE,AD,24,15
AD16,IP_2,2,INPUT,,AD,24,16
AD17,IO_L33N_2,2,I/O,TRUE,AD,24,17
AD18,GND,GND,GND,,AD,24,18
AD19,IO_L40P_2,2,I/O,TRUE,AD,24,19
AD20,IO_L41P_2,2,I/O,TRUE,AD,24,20
AD21,IO_L44N_2,2,I/O,TRUE,AD,24,21
AD22,IO_L45P_2,2,I/O,TRUE,AD,24,22
AD23,IP_2,2,INPUT,,AD,24,23
AD24,GND,GND,GND,,AD,24,24
AD25,IO_L02N_1/LDC0,1,DUAL,TRUE,AD,24,25
AD26,IO_L05P_1,1,I/O,TRUE,AD,24,26
AE1,IP_L66P_3,3,INPUT,TRUE,AE,25,1
AE2,IP_L66N_3/VREF_3,3,VREF,TRUE,AE,25,2
AE3,IO_L06P_2,2,I/O,TRUE,AE,25,3
AE4,IO_L07P_2,2,I/O,TRUE,AE,25,4
AE5,VCCO_2,2,VCCO,,AE,25,5
AE6,IO_L10N_2,2,I/O,TRUE,AE,25,6
AE7,IO_L11N_2,2,I/O,TRUE,AE,25,7
AE8,IO_L18P_2,2,I/O,TRUE,AE,25,8
AE9,IO_L19P_2/VS1,2,DUAL,TRUE,AE,25,9
AE10,IO_L22P_2/D7,2,DUAL,TRUE,AE,25,10
AE11,VCCO_2,2,VCCO,,AE,25,11
AE12,IO_L24N_2/D4,2,DUAL,TRUE,AE,25,12
AE13,IO_L26N_2/GCLK15,2,GCLK,TRUE,AE,25,13
AE14,IO_L28N_2/GCLK3,2,GCLK,TRUE,AE,25,14
AE15,IO_L32N_2/DOUT,2,DUAL,TRUE,AE,25,15
AE16,VCCO_2,2,VCCO,,AE,25,16
AE17,IO_L33P_2,2,I/O,TRUE,AE,25,17
AE18,IO_L36N_2/D1,2,DUAL,TRUE,AE,25,18
AE19,IO_L37N_2,2,I/O,TRUE,AE,25,19
AE20,IO_L39N_2,2,I/O,TRUE,AE,25,20
AE21,IO_L44P_2,2,I/O,TRUE,AE,25,21
AE22,VCCO_2,2,VCCO,,AE,25,22
AE23,IO_L48N_2,2,I/O,TRUE,AE,25,23
AE24,IO_L52N_2/CCLK,2,DUAL,TRUE,AE,25,24
AE25,IO_L51N_2,2,I/O,TRUE,AE,25,25
AE26,IO_L02P_1/LDC1,1,DUAL,TRUE,AE,25,26
AF1,GND,GND,GND,,AF,26,1
AF2,IP_2,2,INPUT,,AF,26,2
AF3,IO_L06N_2,2,I/O,TRUE,AF,26,3
AF4,IO_L07N_2,2,I/O,TRUE,AF,26,4
AF5,IO_L10P_2,2,I/O,TRUE,AF,26,5
AF6,GND,GND,GND,,AF,26,6
AF7,IP_2,2,INPUT,,AF,26,7
AF8,IO_L18N_2,2,I/O,TRUE,AF,26,8
AF9,IO_L19N_2/VS0,2,DUAL,TRUE,AF,26,9
AF10,IO_L22N_2/D6,2,DUAL,TRUE,AF,26,10
AF11,GND,GND,GND,,AF,26,11
AF12,IO_L24P_2/D5,2,DUAL,TRUE,AF,26,12
AF13,IO_L26P_2/GCLK14,2,GCLK,TRUE,AF,26,13
AF14,IO_L28P_2/GCLK2,2,GCLK,TRUE,AF,26,14
AF15,IP_2/VREF_2,2,VREF,,AF,26,15
AF16,GND,GND,GND,,AF,26,16
AF17,IP_2/VREF_2,2,VREF,,AF,26,17
AF18,IO_L36P_2/D2,2,DUAL,TRUE,AF,26,18
AF19,IO_L37P_2,2,I/O,TRUE,AF,26,19
AF20,IO_L39P_2,2,I/O,TRUE,AF,26,20
AF21,GND,GND,GND,,AF,26,21
AF22,IP_2/VREF_2,2,VREF,,AF,26,22
AF23,IO_L48P_2,2,I/O,TRUE,AF,26,23
AF24,IO_L52P_2/D0/DIN/MISO,2,DUAL,TRUE,AF,26,24
AF25,IO_L51P_2,2,I/O,TRUE,AF,26,25
AF26,GND,GND,GND,,AF,26,26
B1,IO_L02N_3,3,I/O,TRUE,B,2,1
B2,IO_L02P_3,3,I/O,TRUE,B,2,2
B3,IO_L51N_0,0,I/O,TRUE,B,2,3
B4,IO_L45N_0,0,I/O,TRUE,B,2,4
B5,VCCO_0,0,VCCO,,B,2,5
B6,IO_L41P_0,0,I/O,TRUE,B,2,6
B7,IO_L42P_0,0,I/O,TRUE,B,2,7
B8,IO_L38N_0,0,I/O,TRUE,B,2,8
B9,IO_L36N_0,0,I/O,TRUE,B,2,9
B10,IO_L33N_0,0,I/O,TRUE,B,2,10
B11,VCCO_0,0,VCCO,,B,2,11
B12,IO_L29N_0,0,I/O,TRUE,B,2,12
B13,IO_L28P_0/GCLK10,0,GCLK,TRUE,B,2,13
B14,IO_L26P_0/GCLK6,0,GCLK,TRUE,B,2,14
B15,IO_L23P_0,0,I/O,TRUE,B,2,15
B16,VCCO_0,0,VCCO,,B,2,16
B17,IO_L19N_0,0,I/O,TRUE,B,2,17
B18,IO_L18P_0,0,I/O,TRUE,B,2,18
B19,IO_L15P_0,0,I/O,TRUE,B,2,19
B20,IO_L14P_0/VREF_0,0,VREF,TRUE,B,2,20
B21,IO_L09N_0,0,I/O,TRUE,B,2,21
B22,VCCO_0,0,VCCO,,B,2,22
B23,IO_L07P_0,0,I/O,TRUE,B,2,23
B24,IP_0,0,INPUT,,B,2,24
B25,IP_L65N_1,1,INPUT,TRUE,B,2,25
B26,IP_L65P_1/VREF_1,1,VREF,TRUE,B,2,26
C1,IP_L04N_3/VREF_3,3,VREF,TRUE,C,3,1
C2,IP_L04P_3,3,INPUT,TRUE,C,3,2
C3,GND,GND,GND,,C,3,3
C4,IP_0,0,INPUT,,C,3,4
C5,IO_L44P_0,0,I/O,TRUE,C,3,5
C6,IO_L41N_0,0,I/O,TRUE,C,3,6
C7,IO_L42N_0,0,I/O,TRUE,C,3,7
C8,IO_L40P_0,0,I/O,TRUE,C,3,8
C9,GND,GND,GND,,C,3,9
C10,IO_L34P_0,0,I/O,TRUE,C,3,10
C11,IO_L32P_0,0,I/O,TRUE,C,3,11
C12,IO_L30N_0,0,I/O,TRUE,C,3,12
C13,IO_L28N_0/GCLK11,0,GCLK,TRUE,C,3,13
C14,GND,GND,GND,,C,3,14
C15,IO_L22N_0,0,I/O,TRUE,C,3,15
C16,IO_L21N_0,0,I/O,TRUE,C,3,16
C17,IO_L19P_0,0,I/O,TRUE,C,3,17
C18,IO_L17N_0,0,I/O,TRUE,C,3,18
C19,GND,GND,GND,,C,3,19
C20,IO_L11N_0,0,I/O,TRUE,C,3,20
C21,IO_L09P_0,0,I/O,TRUE,C,3,21
C22,IO_L05N_0,0,I/O,TRUE,C,3,22
C23,IO_L06N_0,0,I/O,TRUE,C,3,23
C24,GND,GND,GND,,C,3,24
C25,IO_L63N_1/A23,1,DUAL,TRUE,C,3,25
C26,IO_L63P_1/A22,1,DUAL,TRUE,C,3,26
D1,IP_L08N_3,3,INPUT,TRUE,D,4,1
D2,IP_L08P_3,3,INPUT,TRUE,D,4,2
D3,IO_L06P_3,3,I/O,TRUE,D,4,3
D4,TMS,VCCAUX,JTAG,,D,4,4
D5,IP_0,0,INPUT,,D,4,5
D6,IO_L44N_0,0,I/O,TRUE,D,4,6
D7,IP_0/VREF_0,0,VREF,,D,4,7
D8,IO_L40N_0,0,I/O,TRUE,D,4,8
D9,IO_L37N_0,0,I/O,TRUE,D,4,9
D10,IO_L34N_0,0,I/O,TRUE,D,4,10
D11,IO_L32N_0/VREF_0,0,VREF,TRUE,D,4,11
D12,IP_0,0,INPUT,,D,4,12
D13,IO_L30P_0,0,I/O,TRUE,D,4,13
D14,IP_0/VREF_0,0,VREF,,D,4,14
D15,IP_0,0,INPUT,,D,4,15
D16,IO_L22P_0,0,I/O,TRUE,D,4,16
D17,IO_L21P_0,0,I/O,TRUE,D,4,17
D18,IO_L17P_0,0,I/O,TRUE,D,4,18
D19,IP_0,0,INPUT,,D,4,19
D20,IO_L11P_0,0,I/O,TRUE,D,4,20
D21,IO_L10N_0,0,I/O,TRUE,D,4,21
D22,IO_L05P_0,0,I/O,TRUE,D,4,22
D23,IO_L06P_0,0,I/O,TRUE,D,4,23
D24,IO_L61N_1,1,I/O,TRUE,D,4,24
D25,IO_L61P_1,1,I/O,TRUE,D,4,25
D26,IO_L60N_1,1,I/O,TRUE,D,4,26
E1,IO_L11P_3,3,I/O,TRUE,E,5,1
E2,VCCO_3,3,VCCO,,E,5,2
E3,IO_L07P_3,3,I/O,TRUE,E,5,3
E4,IO_L06N_3,3,I/O,TRUE,E,5,4
E5,VCCAUX,VCCAUX,VCCAUX,,E,5,5
E6,IP_0,0,INPUT,,E,5,6
E7,IO_L48N_0,0,I/O,TRUE,E,5,7
E8,VCCO_0,0,VCCO,,E,5,8
E9,IP_0,0,INPUT,,E,5,9
E10,IO_L37P_0,0,I/O,TRUE,E,5,10
E11,IP_0,0,INPUT,,E,5,11
E12,IO_L31P_0,0,I/O,TRUE,E,5,12
E13,VCCO_0,0,VCCO,,E,5,13
E14,IO_L24P_0,0,I/O,TRUE,E,5,14
E15,IO_L20N_0/VREF_0,0,VREF,TRUE,E,5,15
E16,VCCAUX,VCCAUX,VCCAUX,,E,5,16
E17,IO_L13N_0,0,I/O,TRUE,E,5,17
E18,IP_0,0,INPUT,,E,5,18
E19,VCCO_0,0,VCCO,,E,5,19
E20,IP_0,0,INPUT,,E,5,20
E21,IO_L10P_0,0,I/O,TRUE,E,5,21
E22,VCCAUX,VCCAUX,VCCAUX,,E,5,22
E23,TDO,VCCAUX,JTAG,,E,5,23
E24,IO_L56P_1,1,I/O,TRUE,E,5,24
E25,VCCO_1,1,VCCO,,E,5,25
E26,IO_L60P_1,1,I/O,TRUE,E,5,26
F1,GND,GND,GND,,F,6,1
F2,IO_L11N_3,3,I/O,TRUE,F,6,2
F3,IO_L14N_3,3,I/O,TRUE,F,6,3
F4,IO_L07N_3,3,I/O,TRUE,F,6,4
F5,IO_L09P_3,3,I/O,TRUE,F,6,5
F6,GND,GND,GND,,F,6,6
F7,IO_L48P_0,0,I/O,TRUE,F,6,7
F8,IO_L52P_0/VREF_0,0,VREF,TRUE,F,6,8
F9,IP_0,0,INPUT,,F,6,9
F10,IP_0,0,INPUT,,F,6,10
F11,GND,GND,GND,,F,6,11
F12,IO_L31N_0,0,I/O,TRUE,F,6,12
F13,IO_L27P_0/GCLK8,0,GCLK,TRUE,F,6,13
F14,IO_L24N_0,0,I/O,TRUE,F,6,14
F15,IO_L20P_0,0,I/O,TRUE,F,6,15
F16,GND,GND,GND,,F,6,16
F17,IO_L13P_0,0,I/O,TRUE,F,6,17
F18,IP_0,0,INPUT,,F,6,18
F19,IO_L02N_0,0,I/O,TRUE,F,6,19
F20,IO_L01N_0,0,I/O,TRUE,F,6,20
F21,GND,GND,GND,,F,6,21
F22,IO_L58P_1/VREF_1,1,VREF,TRUE,F,6,22
F23,IO_L56N_1,1,I/O,TRUE,F,6,23
F24,IO_L54N_1,1,I/O,TRUE,F,6,24
F25,IO_L54P_1,1,I/O,TRUE,F,6,25
F26,GND,GND,GND,,F,6,26
G1,IP_L16N_3,3,INPUT,TRUE,G,7,1
G2,IP_L16P_3,3,INPUT,TRUE,G,7,2
G3,IO_L14P_3,3,I/O,TRUE,G,7,3
G4,IO_L09N_3,3,I/O,TRUE,G,7,4
G5,IP_L12P_3,3,INPUT,TRUE,G,7,5
G6,IO_L03P_3,3,I/O,TRUE,G,7,6
G7,TDI,VCCAUX,JTAG,,G,7,7
G8,IO_L52N_0/PUDC_B,0,DUAL,TRUE,G,7,8
G9,IO_L47P_0,0,I/O,TRUE,G,7,9
G10,IO_L46P_0,0,I/O,TRUE,G,7,10
G11,IP_0/VREF_0,0,VREF,,G,7,11
G12,IO_L35P_0,0,I/O,TRUE,G,7,12
G13,IO_L27N_0/GCLK9,0,GCLK,TRUE,G,7,13
G14,IP_0,0,INPUT,,G,7,14
G15,IO_L16P_0,0,I/O,TRUE,G,7,15
G16,IP_0,0,INPUT,,G,7,16
G17,IO_L08N_0,0,I/O,TRUE,G,7,17
G18,IP_0,0,INPUT,,G,7,18
G19,IO_L02P_0/VREF_0,0,VREF,TRUE,G,7,19
G20,IO_L01P_0,0,I/O,TRUE,G,7,20
G21,IO_L64N_1/A25,1,DUAL,TRUE,G,7,21
G22,IO_L58N_1,1,I/O,TRUE,G,7,22
G23,IO_L51P_1,1,I/O,TRUE,G,7,23
G24,IO_L51N_1,1,I/O,TRUE,G,7,24
G25,IP_L52N_1/VREF_1,1,VREF,TRUE,G,7,25
G26,IP_L52P_1,1,INPUT,TRUE,G,7,26
